system:index,GID_0,GID_1,NAME_0,NAME_1,VARNAME_1,noacc14,noacc15,noacc16,noacc17,noacc18,noacc19,.geo
0000f8c9d84d25b54090,SHN,SHN.3_1,Saint Helena,Tristan da Cunha,TristÃ£o da Cunha,0.0,0.0,0.0,0.0,0.0,0.0,
0000b227cf6e6027fead,SHN,SHN.2_1,Saint Helena,Saint Helena,,0.0,0.0,0.0,0.0,0.0,0.0,
0000425a24df98abc728,SHN,SHN.1_1,Saint Helena,Ascension,AscensÃ£o,0.0,0.0,0.0,0.0,0.0,0.0,
0000a8f54daf9a729964,ESH,ESH.4_1,Western Sahara,Oued el Dahab,Ed Dakhla|Oued Eddahab,1.4048399987582392,13580.91234618114,1.4857731571070898,1.5269055283771955,1.5685970032182908,1.6114268451961355,
0000d317156b6f784739,ESH,ESH.1_1,Western Sahara,Boujdour,Bojador,0.0,1859.299558569315,0.0,0.0,0.0,0.0,
000091ca6c992b3e1c2d,MRT,MRT.12_1,Mauritania,Tiris Zemmour,,6984.31225279627,6874.058426210632,7121.950880239553,6591.15306566129,7318.494331764687,7518.322557307721,
00006f1c03981054c396,ESH,ESH.3_1,Western Sahara,Laayoune,El aaiÃºn,0.0,142379.53461665608,0.0,0.0,0.0,0.0,
00001668573b47a8d958,ESH,ESH.2_1,Western Sahara,Es Semara,Smara,0.0,63740.8748033444,0.0,0.0,0.0,0.0,
00001b116635795d76c7,MAR,MAR.6_1,Morocco,Guelmim - Es-Semara,,0.0,0.04680232666067713,0.0,0.0,0.0,0.0,
0000abdb4116f29564f9,MAR,MAR.7_1,Morocco,LaÃ¢youne - Boujdour - Sakia El Hamra,,0.0,0.0,0.0,0.0,0.0,0.0,
0000652dc562a34887d3,MAR,MAR.4_1,Morocco,Gharb - Chrarda - BÃ©ni Hssen,,0.0,0.0,0.0,0.0,0.0,0.0,
00004938b3256d63ce7f,MAR,MAR.14_1,Morocco,Tanger - TÃ©touan,,0.0,0.0,0.0,0.0,0.0,0.0,
0000c0944762609b6915,MAR,MAR.15_1,Morocco,Taza - Al Hoceima - Taounate,,0.0,0.0,0.0,0.0,0.0,0.0,
0000aa73af7914844178,ESP,ESP.7_1,Spain,Ceuta y Melilla,,0.0,0.0,0.0,0.0,0.0,0.0,
00009e5e45df96a30c31,MAR,MAR.10_1,Morocco,Oriental,,0.0,4.092639419601993,0.0,0.0,0.0,0.0,
0000ef5e7eb6970c1d28,DZA,DZA.48_1,Algeria,Tlemcen,Tilimsene|Tlemsane|Tilimsen|TremecÃ©m,0.0,12922.556859251414,0.0,0.0,0.0,0.0,
0000ea67a1b3507c6e05,DZA,DZA.3_1,Algeria,AÃ¯n TÃ©mouchent,Ain Tamouchent,0.0,491.9661150905073,0.0,0.0,0.0,0.0,
00008aa0ec11f4fc2104,DZA,DZA.30_1,Algeria,Mostaganem,Mostaghanem|Mestghanem,0.0,15.795388915010607,0.0,0.0,0.0,0.0,
000051bbf06319774ff4,DZA,DZA.27_1,Algeria,Mascara,Mouaskar,0.0,7442.14219649185,0.0,0.0,0.0,0.0,
00005919d4077991ae9e,DZA,DZA.32_1,Algeria,Oran,OrÃ¡n|Orano|OrÃ£o|Ouahran|Ouahrane|Wahran,0.0,0.0,0.0,0.0,0.0,0.0,
0000989a3da7d2f3120e,DZA,DZA.38_1,Algeria,Sidi Bel AbbÃ¨s,Sidi-Bel-Abbes,0.0,16094.387149777287,0.0,0.0,0.0,0.0,
000067f888be35444821,DZA,DZA.36_1,Algeria,SaÃ¯da,,0.0,49288.86676829701,0.0,0.0,0.0,0.0,
0000c49864d7ec32e52f,DZA,DZA.17_1,Algeria,El Bayadh,El Bayad|El Beyyadh|GÃ©ryville,0.0,63255.81954032831,0.0,0.0,0.0,0.0,
0000ec4eb93ae14a530a,DZA,DZA.31_1,Algeria,NaÃ¢ma,Naama,0.0,54418.26677059126,0.0,0.0,0.0,0.0,
0000862acb383ef8dde0,DZA,DZA.7_1,Algeria,BÃ©char,Colomb-BÃ©char|Bechar,0.0,10962.844377221907,0.0,0.0,0.0,0.0,
0000f4cd148d34f8bc9e,DZA,DZA.1_1,Algeria,Adrar,DuperrÃ©,3.2084858517610075,37183.84283912077,3.397276180554746,3.497806866316374,3.601606129138038,3.7084856898074987,
000075d5221b5f06f09d,MAR,MAR.9_1,Morocco,MeknÃ¨s - Tafilalet,,0.0,0.0,0.0,0.0,0.0,0.0,
000039ec14680d41579b,DZA,DZA.44_1,Algeria,Tindouf,Tiaret,0.0,33853.989770168795,0.0,0.0,0.0,0.0,
